iter	RMSE
522	4.208632047
523	4.208595025
524	4.20856217
525	4.208516167
526	4.208466363
527	4.208414643
528	4.208365408
529	4.208326154
530	4.20828019
531	4.208227428
532	4.20818674
533	4.208137407
534	4.208099197
535	4.208066726
536	4.208008509
537	4.207959155
538	4.207920147
539	4.207890571
540	4.207853328
541	4.207799903
542	4.207765984
543	4.207720102
544	4.207689411
545	4.207645152
546	4.207593433
547	4.207547658
548	4.207496431
549	4.207463174
550	4.207440381
551	4.207398529
552	4.207342946
553	4.20730936
554	4.207266418
555	4.2072172
556	4.207192741
557	4.207132964
558	4.207093628
559	4.207063975
560	4.207034443
561	4.206979812
562	4.206943358
563	4.206899446
564	4.206878065
565	4.206824357
566	4.206789099
567	4.206755932
568	4.206723871
569	4.20666829
570	4.206630631
571	4.206576849
572	4.206542309
573	4.206520477
574	4.206489226
575	4.20646471
576	4.206404133
577	4.206364809
578	4.206332665
579	4.206301812
580	4.206265729
581	4.206219558
582	4.206189293
583	4.206158605
584	4.206113744
585	4.206072841
586	4.206032844
587	4.206005891
588	4.205965306
589	4.205914951
590	4.205866819
591	4.205819347
592	4.205776612
593	4.20574001
594	4.20571488
595	4.205660795
596	4.205632308
597	4.205569966
598	4.205531741
599	4.205500999
600	4.205480494
601	4.205439751
602	4.205408542
603	4.205358888
604	4.205310257
605	4.205276771
606	4.205238232
607	4.205191294
608	4.205144466
609	4.2050799
610	4.20504755
611	4.205006922
612	4.204970529
613	4.204941681
614	4.20490505
615	4.20486074
616	4.204831169
617	4.204786633
618	4.204744221
619	4.20472061
620	4.204700061
621	4.204652095
622	4.204611201
623	4.20456961
624	4.204534345
625	4.204502995
626	4.204475237
627	4.204426278
628	4.204387143
629	4.20435261
630	4.204330762
631	4.204265167
632	4.204225777
633	4.204175534
634	4.20415601
635	4.204100091
636	4.204052039
637	4.20400706
638	4.20395022
639	4.203914497
640	4.20388551
641	4.203839523
642	4.203814292
643	4.203787953
644	4.203758992
645	4.203712872
646	4.203681713
647	4.203628624
648	4.203587496
649	4.203563973
650	4.203531112
651	4.203503184
652	4.203472455
653	4.203444921
654	4.203402537
655	4.203354245
656	4.203314656
657	4.203268588
658	4.203214384
659	4.203166801
660	4.203107094
661	4.203065943
662	4.203029249
663	4.202995163
664	4.202972113
665	4.20292845
666	4.202893776
667	4.202843313
668	4.202802834
669	4.202760686
670	4.202727562
671	4.202692496
672	4.202646134
673	4.202612543
674	4.202578156
675	4.202530024
676	4.202489901
677	4.202462528
678	4.202420402
679	4.202375194
680	4.202338615
681	4.202283239
682	4.202233305
683	4.20218719
684	4.202138912
685	4.20207242
686	4.202032236
687	4.202004725
688	4.201960309
689	4.201924262
690	4.201905266
691	4.201872106
692	4.201837845
693	4.201776421
694	4.201731551
695	4.201675371
696	4.201655249
697	4.201632805
698	4.201591139
699	4.201554877
700	4.201523015
701	4.201494364
702	4.2014558
703	4.201426327
704	4.201390851
705	4.201361639
706	4.201329766
707	4.201279633
708	4.201230829
709	4.201185889
710	4.201139398
711	4.201109346
712	4.201079955
713	4.201042666
714	4.200995587
715	4.200973475
716	4.200945212
717	4.200911533
718	4.20086842
719	4.20082578
720	4.20080241
721	4.200770879
722	4.200730895
723	4.200709011
724	4.200684394
725	4.200638846
726	4.200606804
727	4.200576605
728	4.20055486
729	4.200512342
730	4.200484016
731	4.200441058
732	4.200419802
733	4.20038397
734	4.200344722
735	4.2002747
736	4.200247291
737	4.200208982
738	4.200185813
739	4.200148379
740	4.200121875
741	4.200088469
742	4.200057531
743	4.200022837
744	4.199987348
745	4.199952035
746	4.199913909
747	4.199876153
748	4.199810436
749	4.199763543
750	4.199735358
751	4.199704919
752	4.199686632
753	4.199664755
754	4.199630692
755	4.199605759
756	4.199576013
757	4.199521929
758	4.199491865
759	4.199457834
760	4.199408624
761	4.199370524
762	4.199336469
763	4.199298544
764	4.199262793
765	4.199236948
766	4.199194918
767	4.199151645
768	4.199122739
769	4.19907094
770	4.199044809
771	4.199004643
772	4.198981196
773	4.198935468
774	4.198905453
775	4.198871243
776	4.19884417
777	4.198815172
778	4.198762058
779	4.198735215
780	4.198684147
781	4.19865254
782	4.19860997
783	4.1985766
784	4.198558698
785	4.198528352
786	4.198482986
787	4.198438309
788	4.198394615
789	4.198366204
790	4.198326894
791	4.198290235
792	4.198237972
793	4.198202262
794	4.198165788
795	4.198122652
796	4.198092289
797	4.198058757
798	4.198021061
799	4.197986107
800	4.197949526
801	4.197922352
802	4.197888974
803	4.197844623
804	4.197805603
805	4.197770515
806	4.197739995
807	4.197690667
808	4.1976526
809	4.197630866
810	4.197596728
811	4.197580266
812	4.197563289
813	4.197539884
814	4.197505421
815	4.197459957
816	4.197434374
817	4.197409716
818	4.197356488
819	4.197328107
820	4.197296756
821	4.19724077
822	4.19720181
823	4.197170839
824	4.197120918
825	4.197082635
826	4.197053056
827	4.197014798
828	4.196986884
829	4.196949348
830	4.196922651
831	4.19689498
832	4.196848916
833	4.196829368
834	4.196786065
835	4.196767221
836	4.196716051
837	4.196690457
838	4.196660883
839	4.196629675
840	4.196603128
841	4.196546732
842	4.196509927
843	4.196502641
844	4.196466306
845	4.196432061
846	4.196392256
847	4.196360367
848	4.196310015
849	4.196286691
850	4.196255674
851	4.196232728
852	4.196197579
853	4.196152706
854	4.196129504
855	4.196096872
856	4.196059635
857	4.196024372
858	4.195977217
859	4.195942159
860	4.195911028
861	4.195885416
862	4.195846364
863	4.195796406
864	4.195764478
865	4.195722861
866	4.195681829
867	4.195646388
868	4.195606408
869	4.195571956
870	4.195529604
871	4.19548905
872	4.195435449
873	4.195399725
874	4.19535761
875	4.195320258
876	4.195298324
877	4.195268181
878	4.195222991
879	4.195193321
880	4.19515225
881	4.195111132
882	4.195084955
883	4.195061536
884	4.195028941
885	4.194982961
886	4.194936166
887	4.194906201
888	4.194878704
889	4.194855681
890	4.194824497
891	4.194793238
892	4.194748606
893	4.194715062
894	4.194670559
895	4.194638406
896	4.19460171
897	4.194562218
898	4.19453281
899	4.194522844
900	4.194474459
901	4.194430693
902	4.194408522
903	4.194368146
904	4.194329484
905	4.194289358
906	4.194242414
907	4.19417832
908	4.194139706
909	4.194116337
910	4.194085693
911	4.194058328
912	4.194025481
913	4.193986222
914	4.193936586
915	4.19388233
916	4.193841027
917	4.193815615
918	4.193788832
919	4.193743743
920	4.19371294
921	4.193671188
922	4.193648246
923	4.193619034
924	4.193583008
925	4.193551536
926	4.193537903
927	4.193511363
928	4.19347913
929	4.193431521
930	4.193400002
931	4.193366534
932	4.193337624
933	4.193305918
934	4.193280434
935	4.193239674
936	4.193195211
937	4.193161417
938	4.193112905
939	4.19307282
940	4.193029464
941	4.193004601
942	4.192967605
943	4.192944831
944	4.192918482
945	4.192887525
946	4.192865515
947	4.192830315
948	4.192799749
949	4.192784461
950	4.192760971
951	4.192740327
952	4.192715758
953	4.192677147
954	4.192636414
955	4.192584012
956	4.192573358
957	4.192536907
958	4.192502264
959	4.192448087
960	4.19241286
961	4.192372561
962	4.192343803
963	4.192311505
964	4.192264499
965	4.192221993
966	4.192198869
967	4.19215722
968	4.192126652
969	4.192098061
970	4.192063889
971	4.192022046
972	4.191997412
973	4.191971478
974	4.191921426
975	4.191879205
976	4.191847523
977	4.19182501
978	4.19179719
979	4.191766262
980	4.19171344
981	4.191683364
982	4.191640718
983	4.191620727
984	4.191582059
985	4.191555717
986	4.191505507
987	4.191483866
988	4.19143784
989	4.191402748
990	4.191384678
991	4.191329255
992	4.191299125
993	4.191256021
994	4.191211637
995	4.191187636
996	4.191151313
997	4.191127821
998	4.19108206
999	4.191037625
